"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"California","Del Norte",2019,12,12,0,0,0,0,0,45,43,29,0,0,0,0,12,0
"California","El Dorado",2019,151,139,12,0,0,0,0,84,48,38,0,0,142,0,0,9
"California","Fresno",2019,243,119,106,18,0,0,0,140,97,51,0,2,190,0,43,8
"California","Glenn",2019,151,136,15,0,0,0,0,71,49,40,0,0,131,0,14,6
"California","Humboldt",2019,182,178,4,0,0,0,0,64,40,30,1,0,141,0,18,22
"California","Imperial",2019,233,128,100,4,1,0,0,185,77,48,0,0,94,0,110,29
"California","Inyo",2019,273,165,101,5,1,1,0,247,84,48,0,0,209,0,6,58
"California","Kern",2019,273,189,70,12,2,0,0,166,67,44,0,1,80,0,153,39
"California","Kings",2019,273,149,113,11,0,0,0,130,87,49,0,0,184,0,47,42
"California","Lake",2019,33,33,0,0,0,0,0,33,22,8,0,0,0,0,21,12
"California","Los Angeles",2019,182,56,110,13,3,0,0,200,100,58,1,19,97,0,63,2
"California","Madera",2019,72,72,0,0,0,0,0,42,37,29,0,5,51,0,16,0
"California","Marin",2019,243,229,13,1,0,0,0,133,46,34,1,5,157,0,80,0
"California","Mariposa",2019,243,166,77,0,0,0,0,100,67,46,0,0,221,0,22,0
"California","Mendocino",2019,181,169,12,0,0,0,0,75,46,35,0,0,128,0,45,8
"California","Merced",2019,82,75,6,1,0,0,0,116,46,30,0,0,0,0,74,8
"California","Mono",2019,181,124,45,5,0,0,7,3852,93,28,0,0,0,0,140,41
"California","Monterey",2019,274,251,22,1,0,0,0,144,48,36,1,0,225,0,47,1
"California","Napa",2019,244,224,18,2,0,0,0,119,48,35,1,0,179,0,64,0
"California","Nevada",2019,271,195,71,5,0,0,0,122,71,45,0,0,252,0,19,0
"California","Orange",2019,182,139,40,3,0,0,0,122,67,44,1,8,150,0,22,1
"California","Placer",2019,218,136,76,6,0,0,0,129,77,47,0,0,193,0,25,0
"California","Plumas",2019,226,188,34,4,0,0,0,138,66,22,0,0,0,0,226,0
"California","Riverside",2019,304,80,143,67,14,0,0,185,133,73,0,0,204,0,38,62
"California","Sacramento",2019,243,178,59,6,0,0,0,122,76,40,0,1,125,0,117,0
"California","San Benito",2019,273,251,22,0,0,0,0,90,48,38,0,0,265,0,8,0
"California","San Bernardino",2019,243,54,135,47,7,0,0,192,129,70,0,9,189,0,44,1
"California","San Diego",2019,181,82,97,2,0,0,0,101,70,52,0,0,64,0,117,0
"California","San Francisco",2019,244,212,31,1,0,0,0,108,52,36,1,11,132,0,100,0
"California","San Joaquin",2019,169,137,26,6,0,0,0,137,65,36,1,4,92,0,55,17
"California","San Luis Obispo",2019,181,135,46,0,0,0,0,87,65,44,0,0,147,0,15,19
"California","San Mateo",2019,244,223,19,2,0,0,0,122,47,36,1,5,155,0,83,0
"California","Santa Barbara",2019,213,191,22,0,0,0,0,93,51,42,1,0,183,0,27,2
"California","Santa Clara",2019,244,193,47,4,0,0,0,136,58,41,1,2,158,0,83,0
"California","Santa Cruz",2019,273,263,10,0,0,0,0,70,45,35,0,0,211,0,62,0
"California","Shasta",2019,242,213,29,0,0,0,0,77,51,43,0,0,236,0,5,1
"California","Siskiyou",2019,181,167,14,0,0,0,0,77,49,38,0,0,143,0,38,0
"California","Solano",2019,273,225,47,1,0,0,0,119,58,39,0,1,199,0,73,0
"California","Sonoma",2019,244,233,10,0,1,0,0,154,45,35,1,1,175,0,67,0
"California","Stanislaus",2019,168,135,27,6,0,0,0,120,71,38,1,0,88,0,63,16
"California","Sutter",2019,236,195,39,2,0,0,0,110,58,37,0,0,92,0,144,0
"California","Tehama",2019,192,165,27,0,0,0,0,80,54,37,0,0,180,0,0,12
"California","Trinity",2019,53,50,2,1,0,0,0,113,36,15,0,0,0,0,53,0
"California","Tulare",2019,242,98,91,53,0,0,0,150,126,56,0,1,186,0,54,1
"California","Tuolumne",2019,150,142,8,0,0,0,0,71,48,39,0,0,150,0,0,0
"California","Ventura",2019,243,146,94,3,0,0,0,112,77,45,0,0,199,0,43,1
"California","Yolo",2019,272,223,49,0,0,0,0,90,61,40,0,0,245,0,27,0
"Colorado","Adams",2019,244,159,84,1,0,0,0,132,64,47,2,32,137,0,51,22
"Colorado","Arapahoe",2019,243,127,110,6,0,0,0,140,84,50,0,0,235,0,8,0
"Colorado","Archuleta",2019,180,163,16,0,0,0,1,394,50,23,0,2,61,2,0,115
"Colorado","Boulder",2019,243,136,102,5,0,0,0,119,80,49,0,0,195,0,47,1
"Colorado","Clear Creek",2019,191,125,65,1,0,0,0,112,71,48,0,0,191,0,0,0
"Colorado","Delta",2019,90,85,5,0,0,0,0,67,48,39,0,0,83,0,7,0
"Colorado","Denver",2019,244,114,127,2,1,0,0,153,76,51,1,55,129,1,58,0
"Colorado","Douglas",2019,241,137,94,9,1,0,0,154,84,49,0,0,202,0,39,0
"Colorado","El Paso",2019,244,151,93,0,0,0,0,100,71,48,1,0,229,0,12,2
"Colorado","Fremont",2019,18,18,0,0,0,0,0,29,23,11,0,0,0,0,0,18
"Colorado","Garfield",2019,263,243,20,0,0,0,0,74,50,43,0,0,262,0,1,0
"Colorado","Gilpin",2019,23,14,8,1,0,0,0,115,80,50,0,0,23,0,0,0
"Colorado","Gunnison",2019,208,138,69,1,0,0,0,101,67,48,0,0,208,0,0,0
"Colorado","Jefferson",2019,243,134,94,15,0,0,0,129,90,49,0,0,243,0,0,0
"Colorado","La Plata",2019,212,156,56,0,0,0,0,87,61,46,0,9,174,0,29,0
"Colorado","Larimer",2019,244,110,129,5,0,0,0,129,80,51,1,0,218,0,25,0
"Colorado","Mesa",2019,271,199,72,0,0,0,0,87,61,46,2,0,242,0,26,1
"Colorado","Montezuma",2019,273,195,78,0,0,0,0,97,61,47,0,0,273,0,0,0
"Colorado","Pitkin",2019,55,55,0,0,0,0,0,24,19,8,0,0,0,0,0,55
"Colorado","Prowers",2019,169,166,3,0,0,0,0,76,23,12,0,0,0,0,0,169
"Colorado","Pueblo",2019,76,76,0,0,0,0,0,35,29,19,0,0,0,0,50,26
"Colorado","Rio Blanco",2019,243,192,51,0,0,0,0,100,58,46,0,0,228,0,15,0
"Colorado","Routt",2019,173,171,2,0,0,0,0,60,32,12,0,0,0,0,0,173
"Colorado","San Miguel",2019,55,54,1,0,0,0,0,54,23,9,0,0,0,0,0,55
"Colorado","Weld",2019,244,168,74,2,0,0,0,125,67,45,1,0,180,0,63,0
"Connecticut","Fairfield",2019,182,138,38,6,0,0,0,119,64,43,1,6,101,0,74,0
"Connecticut","Hartford",2019,182,157,25,0,0,0,0,91,52,41,1,10,125,0,45,1
"Connecticut","Litchfield",2019,182,175,7,0,0,0,0,90,48,40,1,0,178,0,3,0
"Connecticut","Middlesex",2019,114,106,8,0,0,0,0,67,50,41,0,0,114,0,0,0
"Connecticut","New Haven",2019,182,149,30,3,0,0,0,147,55,41,1,5,125,0,49,2
"Connecticut","New London",2019,181,166,14,1,0,0,0,129,48,39,0,0,115,0,66,0
"Connecticut","Tolland",2019,121,111,10,0,0,0,0,100,50,44,0,0,121,0,0,0
"Connecticut","Windham",2019,209,197,12,0,0,0,0,97,48,39,0,0,209,0,0,0
"Country Of Mexico","BAJA CALIFORNIA NORTE",2019,22,4,13,5,0,0,0,127,112,68,0,0,0,0,0,22
"Country Of Mexico","SONORA",2019,266,200,61,5,0,0,0,126,71,44,0,0,266,0,0,0
"Delaware","Kent",2019,273,215,58,0,0,0,0,83,58,43,0,0,227,0,46,0
"Delaware","New Castle",2019,274,189,82,3,0,0,0,136,70,44,1,4,215,0,54,0
"Delaware","Sussex",2019,273,221,52,0,0,0,0,93,61,43,0,0,228,0,45,0
"District Of Columbia","District of Columbia",2019,274,171,98,4,1,0,0,157,77,47,1,21,182,0,70,0
"Florida","Alachua",2019,181,150,31,0,0,0,0,80,58,38,0,0,144,0,37,0
"Florida","Baker",2019,180,160,20,0,0,0,0,77,51,37,0,0,180,0,0,0
"Florida","Bay",2019,180,155,25,0,0,0,0,85,58,40,0,0,129,0,51,0
"Florida","Brevard",2019,179,171,8,0,0,0,0,90,48,38,0,0,175,0,4,0
"Florida","Broward",2019,182,149,33,0,0,0,0,90,56,42,1,4,94,0,83,0
"Florida","Citrus",2019,181,166,15,0,0,0,0,80,48,33,0,0,0,0,181,0
"Florida","Collier",2019,179,157,22,0,0,0,0,90,51,39,0,0,115,0,64,0
"Florida","Columbia",2019,180,135,45,0,0,0,0,90,64,42,0,0,124,0,56,0
"Florida","Duval",2019,182,124,58,0,0,0,0,97,67,45,1,0,100,0,81,0
"Florida","Escambia",2019,181,150,30,1,0,0,0,101,54,39,0,0,169,0,12,0
"Florida","Flagler",2019,173,168,5,0,0,0,0,74,48,35,0,0,173,0,0,0
"Florida","Hamilton",2019,179,156,23,0,0,0,0,77,53,33,0,0,0,20,159,0
"Florida","Highlands",2019,147,138,9,0,0,0,0,84,49,38,0,0,147,0,0,0
"Florida","Hillsborough",2019,182,128,49,5,0,0,0,126,73,44,1,0,100,1,80,0
"Florida","Holmes",2019,178,139,39,0,0,0,0,84,61,42,0,0,114,0,64,0
"Florida","Indian River",2019,203,192,11,0,0,0,0,90,49,37,0,0,203,0,0,0
"Florida","Lake",2019,155,129,25,1,0,0,0,101,61,40,0,0,155,0,0,0
"Florida","Lee",2019,181,151,29,1,0,0,0,108,58,39,0,0,152,0,27,2
"Florida","Leon",2019,179,123,55,1,0,0,0,119,67,43,0,0,91,0,88,0
"Florida","Liberty",2019,200,188,12,0,0,0,0,74,48,35,0,0,200,0,0,0
"Florida","Manatee",2019,181,154,25,2,0,0,0,108,61,39,0,0,181,0,0,0
"Florida","Marion",2019,181,147,34,0,0,0,0,87,58,42,0,0,119,0,62,0
"Florida","Martin",2019,180,159,21,0,0,0,0,84,52,40,0,0,135,0,45,0
"Florida","Miami-Dade",2019,182,153,27,2,0,0,0,146,54,40,1,15,84,0,82,0
"Florida","Nassau",2019,180,164,16,0,0,0,0,71,48,30,0,0,0,46,134,0
"Florida","Okaloosa",2019,179,157,22,0,0,0,0,84,54,37,0,0,165,0,0,14
"Florida","Orange",2019,182,156,26,0,0,0,0,90,58,39,1,0,158,0,23,0
"Florida","Osceola",2019,181,158,19,4,0,0,0,122,54,37,0,0,181,0,0,0
"Florida","Palm Beach",2019,181,163,18,0,0,0,0,93,50,38,0,0,122,0,59,0
"Florida","Pasco",2019,181,155,26,0,0,0,0,97,58,40,0,0,181,0,0,0
"Florida","Pinellas",2019,182,135,47,0,0,0,0,100,71,43,1,0,111,0,68,2
"Florida","Polk",2019,181,148,33,0,0,0,0,100,58,40,0,0,128,0,53,0
"Florida","Putnam",2019,181,178,3,0,0,0,0,54,30,16,0,0,0,2,0,179
"Florida","Santa Rosa",2019,180,147,33,0,0,0,0,93,58,40,0,0,126,0,54,0
"Florida","Sarasota",2019,181,154,27,0,0,0,0,100,55,41,0,0,128,0,53,0
"Florida","Seminole",2019,181,153,27,1,0,0,0,110,58,40,0,0,157,0,23,1
"Florida","St. Lucie",2019,181,171,10,0,0,0,0,77,47,36,0,0,181,0,0,0
"Florida","Volusia",2019,178,156,22,0,0,0,0,80,52,39,0,0,133,0,45,0
"Florida","Wakulla",2019,179,147,32,0,0,0,0,84,58,39,1,0,128,1,49,0
"Georgia","Bibb",2019,273,208,62,3,0,0,0,137,62,40,0,0,156,0,117,0
"Georgia","Chatham",2019,273,215,58,0,0,0,0,87,59,40,0,0,143,24,106,0
"Georgia","Chattooga",2019,214,201,13,0,0,0,0,71,50,40,0,0,214,0,0,0
"Georgia","Clarke",2019,273,191,82,0,0,0,0,87,61,44,0,0,150,0,123,0
"Georgia","Clayton",2019,70,59,11,0,0,0,0,70,54,34,0,0,0,0,70,0
"Georgia","Cobb",2019,233,182,50,1,0,0,0,119,61,43,0,0,195,0,38,0
"Georgia","Coffee",2019,70,62,8,0,0,0,0,60,52,26,0,0,0,0,70,0
"Georgia","Columbia",2019,214,198,16,0,0,0,0,74,49,40,0,0,214,0,0,0
"Georgia","Dawson",2019,213,194,18,1,0,0,0,126,49,38,0,0,213,0,0,0
"Georgia","DeKalb",2019,274,183,88,2,1,0,0,159,67,45,1,15,140,0,118,0
"Georgia","Dougherty",2019,203,121,80,2,0,0,0,107,67,44,0,0,0,0,203,0
"Georgia","Douglas",2019,214,184,26,4,0,0,0,126,58,41,0,0,214,0,0,0
"Georgia","Floyd",2019,273,157,116,0,0,0,0,89,62,46,0,0,0,4,269,0
"Georgia","Fulton",2019,274,134,134,5,1,0,0,172,74,51,1,13,116,0,144,0
"Georgia","Glynn",2019,231,212,19,0,0,0,0,80,49,36,0,0,203,0,28,0
"Georgia","Gwinnett",2019,272,161,109,2,0,0,0,112,71,47,0,0,130,0,142,0
"Georgia","Hall",2019,248,181,67,0,0,0,0,88,58,38,0,0,0,0,248,0
"Georgia","Henry",2019,273,203,63,7,0,0,0,150,61,40,0,0,143,0,130,0
"Georgia","Houston",2019,256,169,85,1,1,0,0,152,61,43,0,0,0,0,256,0
"Georgia","Lowndes",2019,234,186,48,0,0,0,0,68,56,37,0,0,0,0,234,0
"Georgia","Murray",2019,212,175,37,0,0,0,0,93,54,44,0,0,212,0,0,0
"Georgia","Muscogee",2019,273,202,71,0,0,0,0,90,61,41,0,0,132,0,141,0
"Georgia","Pike",2019,201,177,24,0,0,0,0,93,51,37,0,0,201,0,0,0
"Georgia","Richmond",2019,272,170,102,0,0,0,0,87,64,47,0,0,109,14,148,1
"Georgia","Rockdale",2019,210,158,48,4,0,0,0,129,71,44,0,0,210,0,0,0
"Georgia","Sumter",2019,207,180,27,0,0,0,0,97,58,40,0,0,207,0,0,0
"Georgia","Walker",2019,236,191,45,0,0,0,0,82,54,36,0,0,0,0,236,0
"Georgia","Washington",2019,70,61,9,0,0,0,0,61,53,30,0,0,0,0,70,0
"Hawaii","Hawaii",2019,228,222,6,0,0,0,0,74,31,18,0,0,0,66,162,0
"Hawaii","Honolulu",2019,182,173,9,0,0,0,0,90,45,34,1,1,150,23,6,1
"Hawaii","Kauai",2019,181,179,2,0,0,0,0,71,29,14,0,76,0,1,104,0
"Hawaii","Maui",2019,178,177,1,0,0,0,0,53,24,14,0,0,0,0,178,0
"Idaho","Ada",2019,182,177,5,0,0,0,0,77,47,37,1,2,149,0,30,0
"Idaho","Bannock",2019,273,259,14,0,0,0,0,59,44,24,0,0,0,89,106,78
"Idaho","Benewah",2019,181,128,47,5,1,0,0,152,68,38,0,0,0,0,181,0
"Idaho","Blaine",2019,163,163,0,0,0,0,0,41,24,14,0,0,0,0,163,0
"Idaho","Boise",2019,181,147,34,0,0,0,0,88,60,30,0,0,0,0,181,0
"Idaho","Bonner",2019,181,178,3,0,0,0,0,62,31,14,0,0,0,0,105,76
"Idaho","Bonneville",2019,181,172,9,0,0,0,0,57,44,30,0,0,0,0,181,0
"Idaho","Butte",2019,242,229,13,0,0,0,0,71,50,43,0,0,242,0,0,0
"Idaho","Canyon",2019,181,172,9,0,0,0,0,55,40,20,0,0,0,0,142,39
"Idaho","Caribou",2019,179,176,1,2,0,0,0,108,23,4,0,0,0,179,0,0
"Idaho","Franklin",2019,180,165,14,1,0,0,0,107,45,14,0,0,0,0,180,0
"Idaho","Idaho",2019,273,240,33,0,0,0,0,73,52,38,0,0,151,0,122,0
"Idaho","Jerome",2019,242,242,0,0,0,0,0,48,25,15,0,0,0,0,242,0
"Idaho","Kootenai",2019,180,173,7,0,0,0,0,75,38,21,0,0,0,0,180,0
"Idaho","Latah",2019,173,173,0,0,0,0,0,37,18,8,0,0,0,0,173,0
"Idaho","Lemhi",2019,181,145,34,2,0,0,0,133,63,18,0,0,0,0,181,0
"Idaho","Nez Perce",2019,253,237,16,0,0,0,0,85,42,18,0,0,0,0,253,0
"Idaho","Shoshone",2019,181,147,34,0,0,0,0,99,58,27,0,0,0,0,175,6
"Idaho","Twin Falls",2019,181,180,1,0,0,0,0,56,27,17,0,0,0,0,181,0
"Idaho","Valley",2019,174,152,22,0,0,0,0,91,54,15,0,0,0,0,174,0
"Illinois","Adams",2019,180,148,32,0,0,0,0,93,58,44,0,0,180,0,0,0
"Illinois","Champaign",2019,243,183,60,0,0,0,0,93,61,44,0,0,173,0,70,0
"Illinois","Clark",2019,235,222,13,0,0,0,0,74,48,37,0,0,235,0,0,0
"Illinois","Cook",2019,244,96,139,9,0,0,0,133,80,54,1,15,80,0,143,5
"Illinois","DuPage",2019,231,170,58,2,1,0,0,174,62,44,0,0,145,0,86,0
"Illinois","Effingham",2019,184,164,20,0,0,0,0,84,51,42,0,0,184,0,0,0
"Illinois","Hamilton",2019,223,169,53,1,0,0,0,105,58,44,0,0,155,0,68,0
"Illinois","Jersey",2019,241,196,44,1,0,0,0,112,58,44,0,0,153,0,88,0
"Illinois","Jo Daviess",2019,211,200,11,0,0,0,0,74,48,39,0,0,211,0,0,0
"Illinois","Kane",2019,203,159,40,4,0,0,0,112,67,42,0,0,174,0,29,0
"Illinois","La Salle",2019,213,212,1,0,0,0,0,60,4,0,0,0,0,213,0,0
"Illinois","Lake",2019,184,151,31,2,0,0,0,115,61,41,0,0,184,0,0,0
"Illinois","Macon",2019,243,169,74,0,0,0,0,93,61,44,0,0,125,11,107,0
"Illinois","Macoupin",2019,243,228,15,0,0,0,0,87,48,38,0,51,184,8,0,0
"Illinois","Madison",2019,243,127,113,1,2,0,0,156,73,49,0,0,148,0,93,2
"Illinois","McHenry",2019,226,153,71,2,0,0,0,126,66,44,0,0,125,0,101,0
"Illinois","McLean",2019,243,165,78,0,0,0,0,100,64,45,0,0,138,0,105,0
"Illinois","Monroe",2019,122,122,0,0,0,0,0,33,6,1,0,0,0,122,0,0
"Illinois","Peoria",2019,243,182,59,2,0,0,0,101,61,43,0,0,157,0,86,0
"Illinois","Randolph",2019,233,189,44,0,0,0,0,71,54,42,0,0,148,0,85,0
"Illinois","Rock Island",2019,240,181,57,2,0,0,0,115,62,44,0,0,148,0,92,0
"Illinois","Saint Clair",2019,244,166,77,1,0,0,0,108,63,45,2,9,131,0,102,0
"Illinois","Sangamon",2019,239,189,50,0,0,0,0,87,59,42,0,0,147,0,92,0
"Illinois","Tazewell",2019,230,230,0,0,0,0,0,36,9,3,0,0,0,230,0,0
"Illinois","Wabash",2019,180,177,3,0,0,0,0,82,14,1,0,0,0,180,0,0
"Illinois","Will",2019,243,175,68,0,0,0,0,84,61,44,0,0,119,0,124,0
"Illinois","Winnebago",2019,236,168,67,1,0,0,0,102,62,43,0,0,110,0,126,0
"Indiana","Allen",2019,243,166,77,0,0,0,0,97,65,45,0,0,156,0,87,0
"Indiana","Bartholomew",2019,242,193,49,0,0,0,0,77,54,43,0,0,189,0,53,0
"Indiana","Boone",2019,259,228,31,0,0,0,0,90,54,39,0,0,259,0,0,0
"Indiana","Brown",2019,243,228,15,0,0,0,0,74,48,38,0,0,243,0,0,0
"Indiana","Carroll",2019,272,247,25,0,0,0,0,84,50,39,0,0,272,0,0,0
"Indiana","Clark",2019,253,212,40,1,0,0,0,101,55,41,0,0,199,0,54,0
"Indiana","Daviess",2019,176,176,0,0,0,0,0,14,6,1,0,0,0,176,0,0
"Indiana","Delaware",2019,264,237,27,0,0,0,0,71,51,37,0,0,231,0,33,0
"Indiana","Dubois",2019,91,76,15,0,0,0,0,70,54,33,0,0,0,0,90,1
"Indiana","Elkhart",2019,240,206,34,0,0,0,0,78,54,38,0,0,191,0,49,0
"Indiana","Floyd",2019,241,219,22,0,0,0,0,87,50,37,0,0,240,1,0,0
"Indiana","Gibson",2019,179,175,4,0,0,0,0,84,24,3,0,0,0,179,0,0
"Indiana","Greene",2019,246,215,31,0,0,0,0,87,54,41,0,0,218,0,28,0
"Indiana","Hamilton",2019,251,179,71,1,0,0,0,105,62,43,0,0,162,0,89,0
"Indiana","Hendricks",2019,269,256,13,0,0,0,0,93,48,37,0,0,269,0,0,0
"Indiana","Henry",2019,91,82,9,0,0,0,0,63,50,29,0,0,0,0,91,0
"Indiana","Howard",2019,240,192,47,1,0,0,0,108,58,42,0,0,186,0,54,0
"Indiana","Huntington",2019,234,224,10,0,0,0,0,84,46,35,0,0,234,0,0,0
"Indiana","Jackson",2019,238,221,17,0,0,0,0,80,48,37,0,0,238,0,0,0
"Indiana","Knox",2019,209,186,23,0,0,0,0,80,51,39,0,0,209,0,0,0
"Indiana","LaPorte",2019,252,204,44,4,0,0,0,126,64,40,0,0,225,0,27,0
"Indiana","Lake",2019,274,179,94,1,0,0,0,101,64,44,21,3,122,2,122,4
"Indiana","Madison",2019,272,214,57,1,0,0,0,101,58,43,0,0,204,0,68,0
"Indiana","Marion",2019,274,135,137,2,0,0,0,112,71,51,1,0,123,0,150,0
"Indiana","Monroe",2019,223,202,21,0,0,0,0,69,50,27,0,0,0,0,223,0
"Indiana","Morgan",2019,242,220,22,0,0,0,0,87,50,39,0,0,236,6,0,0
"Indiana","Perry",2019,236,208,28,0,0,0,0,80,51,40,0,0,236,0,0,0
"Indiana","Pike",2019,175,175,0,0,0,0,0,19,4,1,0,0,0,175,0,0
"Indiana","Porter",2019,243,173,66,4,0,0,0,115,64,43,0,0,171,11,50,11
"Indiana","Posey",2019,243,223,20,0,0,0,0,80,50,38,0,0,243,0,0,0
"Indiana","Shelby",2019,273,246,27,0,0,0,0,84,50,40,0,0,273,0,0,0
"Indiana","Spencer",2019,87,75,12,0,0,0,0,72,53,32,0,0,0,0,87,0
"Indiana","St. Joseph",2019,251,187,64,0,0,0,0,100,62,44,0,1,159,0,91,0
"Indiana","Sullivan",2019,87,74,13,0,0,0,0,78,52,33,0,0,0,0,87,0
"Indiana","Tippecanoe",2019,202,170,32,0,0,0,0,75,54,33,0,0,0,0,202,0
"Indiana","Vanderburgh",2019,274,226,48,0,0,0,0,90,54,41,21,1,168,0,84,0
"Indiana","Vigo",2019,273,191,82,0,0,0,0,93,64,44,0,0,183,0,90,0
"Indiana","Wabash",2019,200,174,26,0,0,0,0,97,54,40,0,0,200,0,0,0
"Indiana","Warrick",2019,243,217,26,0,0,0,0,93,51,39,0,0,243,0,0,0
"Indiana","Whitley",2019,225,200,25,0,0,0,0,90,51,28,0,0,0,0,225,0
"Iowa","Black Hawk",2019,271,223,48,0,0,0,0,83,57,30,0,0,0,0,271,0
"Iowa","Bremer",2019,212,197,15,0,0,0,0,90,47,39,0,0,212,0,0,0
